pair,float_tile_ratio,hybrid_overhead_fraction_over_float,separate_area_um2,hybrid_area_um2,hybrid_minus_separate_um2,winner
W8A8 + BF16 (1GHz fail),0.0625,0.1,320.85618390478515,987.4450624929689,666.5888785881837,separate
W8A8 + BF16 (1GHz fail),0.0625,0.2,320.85618390478515,1077.212795446875,756.3566115420897,separate
W8A8 + BF16 (1GHz fail),0.0625,0.3,320.85618390478515,1166.9805284007814,846.1243444959962,separate
W8A8 + BF16 (1GHz fail),0.0625,0.5,320.85618390478515,1346.5159943085937,1025.6598104038085,separate
W8A8 + BF16 (1GHz fail),0.125,0.0,376.9610170009766,897.6773295390625,520.716312538086,separate
W8A8 + BF16 (1GHz fail),0.125,0.05,376.9610170009766,942.5611960160156,565.600179015039,separate
W8A8 + BF16 (1GHz fail),0.125,0.1,376.9610170009766,987.4450624929689,610.4840454919922,separate
W8A8 + BF16 (1GHz fail),0.125,0.2,376.9610170009766,1077.212795446875,700.2517784458983,separate
W8A8 + BF16 (1GHz fail),0.125,0.3,376.9610170009766,1166.9805284007814,790.0195113998047,separate
W8A8 + BF16 (1GHz fail),0.125,0.5,376.9610170009766,1346.5159943085937,969.554977307617,separate
W8A8 + BF16 (1GHz fail),0.25,0.0,489.1706831933594,897.6773295390625,408.5066463457031,separate
W8A8 + BF16 (1GHz fail),0.25,0.05,489.1706831933594,942.5611960160156,453.3905128226562,separate
W8A8 + BF16 (1GHz fail),0.25,0.1,489.1706831933594,987.4450624929689,498.27437929960945,separate
W8A8 + BF16 (1GHz fail),0.25,0.2,489.1706831933594,1077.212795446875,588.0421122535155,separate
W8A8 + BF16 (1GHz fail),0.25,0.3,489.1706831933594,1166.9805284007814,677.809845207422,separate
W8A8 + BF16 (1GHz fail),0.25,0.5,489.1706831933594,1346.5159943085937,857.3453111152343,separate
W8A8 + BF16 (1GHz fail),0.5,0.0,713.5900155781251,897.6773295390625,184.08731396093742,separate
W8A8 + BF16 (1GHz fail),0.5,0.05,713.5900155781251,942.5611960160156,228.97118043789055,separate
W8A8 + BF16 (1GHz fail),0.5,0.1,713.5900155781251,987.4450624929689,273.8550469148438,separate
W8A8 + BF16 (1GHz fail),0.5,0.2,713.5900155781251,1077.212795446875,363.62277986874983,separate
W8A8 + BF16 (1GHz fail),0.5,0.3,713.5900155781251,1166.9805284007814,453.3905128226563,separate
W8A8 + BF16 (1GHz fail),0.5,0.5,713.5900155781251,1346.5159943085937,632.9259787304686,separate
W8A8 + BF16 (1GHz fail),0.75,0.0,938.0093479628906,897.6773295390625,-40.33201842382812,hybrid
W8A8 + BF16 (1GHz fail),0.75,0.05,938.0093479628906,942.5611960160156,4.551848053125013,separate
W8A8 + BF16 (1GHz fail),0.75,0.1,938.0093479628906,987.4450624929689,49.43571453007826,separate
W8A8 + BF16 (1GHz fail),0.75,0.2,938.0093479628906,1077.212795446875,139.2034474839843,separate
W8A8 + BF16 (1GHz fail),0.75,0.3,938.0093479628906,1166.9805284007814,228.97118043789078,separate
W8A8 + BF16 (1GHz fail),0.75,0.5,938.0093479628906,1346.5159943085937,408.5066463457031,separate
W8A8 + BF16 (1GHz fail),1.0,0.0,1162.4286803476562,897.6773295390625,-264.75135080859366,hybrid
W8A8 + BF16 (1GHz fail),1.0,0.05,1162.4286803476562,942.5611960160156,-219.86748433164053,hybrid
W8A8 + BF16 (1GHz fail),1.0,0.1,1162.4286803476562,987.4450624929689,-174.98361785468728,hybrid
W8A8 + BF16 (1GHz fail),1.0,0.2,1162.4286803476562,1077.212795446875,-85.21588490078125,hybrid
W8A8 + BF16 (1GHz fail),1.0,0.3,1162.4286803476562,1166.9805284007814,4.551848053125241,separate
W8A8 + BF16 (1GHz fail),1.0,0.5,1162.4286803476562,1346.5159943085937,184.08731396093754,separate
