input_kind,distribution,dot_length,samples,items_per_cycle,accum_style,block_products,median_cancellation_ratio,p99_cancellation_ratio,reference_rms,rmse,nrmse,relative_samples,median_relative_error_filtered,p95_relative_error_filtered,p99_relative_error_filtered,max_abs_error
fp8_proxy,outlier,1024,600,4,bf16_tree_fp32_recurrent,,5.512009314719588,228.80394991256253,338.51265801455406,0.7160610787209449,0.00211531551854158,555,0.0017005953509004437,0.01175504501279902,0.024565425793350186,3.1062536239624023
fp8_proxy,outlier,1024,600,4,bf16_block64_fp32_checkpoint,64,5.512009314719588,228.80394991256253,338.51265801455406,2.197130582088149,0.006490541875080149,555,0.005388410779695886,0.028794703680361952,0.06032451294262411,10.942630767822266
fp8_proxy,outlier,4096,240,4,full_bf16,,14.127126504072645,696.2473074205586,349.1447761853593,13.520727932337387,0.038725276316777246,221,0.02893912686852792,0.10677170285467469,0.24844141832064245,74.1183397769928
fp8_proxy,outlier,4096,240,4,bf16_tree_fp32_recurrent,,14.127126504072645,696.2473074205586,349.1447761853593,0.7365863121562091,0.002109687334302716,221,0.0018491637315870362,0.011365614852326645,0.019257180845487706,2.6199002265930176
fp8_proxy,outlier,4096,240,4,bf16_block64_fp32_checkpoint,64,14.127126504072645,696.2473074205586,349.1447761853593,2.315657587181221,0.006632370710171672,221,0.005455062460120046,0.03191185319009615,0.05563366237830845,10.903397351503372
bf16,gaussian,128,1600,1,full_bf16,,10.266725986665012,301.9311220134675,11.362147852250851,0.14608267793775262,0.012856959778851453,1469,0.00959798755678153,0.04290134131227836,0.08012739030624512,1.019480139017105
bf16,gaussian,128,1600,1,bf16_tree_fp32_recurrent,,10.266725986665012,301.9311220134675,11.362147852250851,0.01906904523510534,0.0016782958189835338,1469,0.0014519445084761058,0.008935726105690957,0.018708172017861256,0.07432734966278076
bf16,gaussian,128,1600,1,bf16_block64_fp32_checkpoint,64,10.266725986665012,301.9311220134675,11.362147852250851,0.10820633537757715,0.009523404974539332,1469,0.007449958641903542,0.036843010802734916,0.08324780738750692,0.6214683055877686
bf16,gaussian,1024,600,1,full_bf16,,27.865350156260902,961.8620598556631,32.622611870661565,1.0850963389109076,0.033262092661770146,535,0.02426201661428153,0.10905606092871133,0.1791968252630704,4.608541265130043
bf16,gaussian,1024,600,1,bf16_tree_fp32_recurrent,,27.865350156260902,961.8620598556631,32.622611870661565,0.053054548025766146,0.0016263120879502478,535,0.0013753949446577303,0.00882392134396895,0.017403583933375644,0.15700054168701172
bf16,gaussian,1024,600,1,bf16_block64_fp32_checkpoint,64,27.865350156260902,961.8620598556631,32.622611870661565,0.30715163531658446,0.009415298705521939,535,0.007492204191795957,0.04683334642273419,0.10071379913890223,1.1226532347500324
bf16,gaussian,4096,240,1,full_bf16,,67.52754922203519,1445.5150796388066,61.568387744440486,4.630356015979031,0.07520671217181814,221,0.055579043762853726,0.24593573574105473,0.38752231557627964,22.831568947527558
bf16,gaussian,4096,240,1,bf16_tree_fp32_recurrent,,67.52754922203519,1445.5150796388066,61.568387744440486,0.11077571860861785,0.0017992304600930645,221,0.0013881543484345416,0.013116257740544495,0.020654457560995463,0.3834013915620744
bf16,gaussian,4096,240,1,bf16_block64_fp32_checkpoint,64,67.52754922203519,1445.5150796388066,61.568387744440486,0.645872619533171,0.010490328611723183,221,0.009368006456004599,0.06115557179715928,0.13995045547992913,1.8797661382704973
bf16,positive,128,1600,1,full_bf16,,1.0,1.0,81.93613698792541,1.2676116890196278,0.015470728003767501,1600,0.011770688239567064,0.029323490598939406,0.03716819036965816,3.8567469716072083
bf16,positive,128,1600,1,bf16_tree_fp32_recurrent,,1.0,1.0,81.93613698792541,0.01934075433223686,0.00023604669494104938,1600,0.00016476998324530732,0.0004654120236379513,0.0005984590855933163,0.06724023818969727
bf16,positive,128,1600,1,bf16_block64_fp32_checkpoint,64,1.0,1.0,81.93613698792541,0.5604077715551471,0.006839567889778988,1600,0.004874103989905173,0.013068396302381019,0.01621960530797555,2.04204922914505
bf16,positive,1024,600,1,full_bf16,,1.0,1.0,653.0146942611977,131.80238494562414,0.20183678270018351,600,0.2007110515385976,0.22700849104796825,0.23601058080564657,171.05959155177698
bf16,positive,1024,600,1,bf16_tree_fp32_recurrent,,1.0,1.0,653.0146942611977,0.058133654354247735,8.902350110209771e-05,600,6.0040983889051165e-05,0.00017152960288975168,0.00021690045792141432,0.20652971434719802
bf16,positive,1024,600,1,bf16_block64_fp32_checkpoint,64,1.0,1.0,653.0146942611977,2.5876286455579582,0.003962588695627329,600,0.0033880979937390317,0.006489996792711503,0.007793321812378478,6.184591551776975
bf16,positive,4096,240,1,full_bf16,,1.0,1.0,2603.246541534294,1526.0806176025403,0.5862220858663287,240,0.5858037606403637,0.6007716011295595,0.606121149057347,1659.9182240068913
bf16,positive,4096,240,1,bf16_tree_fp32_recurrent,,1.0,1.0,2603.246541534294,0.15507264208664437,5.9568941939416964e-05,240,4.233611642858253e-05,0.00011410952545719548,0.00013690427820934532,0.3889552978798747
bf16,positive,4096,240,1,bf16_block64_fp32_checkpoint,64,1.0,1.0,2603.246541534294,9.424976055565496,0.0036204700189520394,240,0.0034738935068808147,0.005214179975055335,0.005913100381659526,15.805372685194016
bf16,outlier,128,1600,1,full_bf16,,2.903537517112361,144.54074051589615,358.86175689453296,3.7528051249713035,0.01045752313494421,1445,0.008311694776213522,0.03774620937349151,0.07802301776461715,20.28218676149845
bf16,outlier,128,1600,1,bf16_tree_fp32_recurrent,,2.903537517112361,144.54074051589615,358.86175689453296,0.6224545113859776,0.0017345245054042155,1445,0.0014425459393520067,0.00700528315906712,0.016423249068820877,3.1696765422821045
