mode,distribution,dot_length,samples,items_per_lane_per_cycle,reference_rms,rmse,nrmse_pct,relative_samples,median_relative_pct,p95_relative_pct,p99_relative_pct,max_abs_error
i4_bf16,gaussian,64,1600,2,14.12243045240739,0.027094419534409237,0.19185380041854316,1479,0.16633809758501725,1.0813231077873304,2.1152006399964027,0.1251220703125
i4_bf16,gaussian,128,1200,2,20.29188346414284,0.03775440629620802,0.18605668795073987,1098,0.15098313246232503,1.0303149655498407,2.0493110307426594,0.1374053955078125
i4_bf16,gaussian,1024,360,2,59.16922199469824,0.11008858447493715,0.18605717764009377,329,0.17352358159151698,1.1011676744984922,2.10785810994141,0.3403759002685547
i4_bf16,gaussian,4096,120,2,122.92304233376207,0.2157358628437293,0.17550481890772016,109,0.1586425779245205,0.9605276808244881,1.481152080596775,0.5574312210083008
i4_bf16,positive,16,2400,2,18.538181623383274,0.015501714598030871,0.08362046997359045,2400,0.05802954122275403,0.16374909318802064,0.21988064515942188,0.0673828125
i4_bf16,positive,64,1600,2,71.47124680743268,0.03234884997424035,0.04526134833130715,1600,0.03045050908667886,0.08643081520683578,0.11777154959834349,0.11474609375
i4_bf16,positive,128,1200,2,141.16541461464408,0.045568454547427986,0.03228018326714202,1200,0.022346892939561287,0.0627093449459085,0.08215626697820093,0.158203125
i4_bf16,positive,1024,360,2,1123.497916485938,0.12615888167527192,0.011229115766397681,360,0.007348605342851519,0.021632767429733978,0.027570623923719274,0.4166860580444336
i4_bf16,positive,4096,120,2,4487.951183107318,0.26042177647345915,0.005802687369989422,120,0.0040652734672490315,0.011575079826358919,0.01506302392887968,0.7409591674804688
i4_bf16,outlier,16,2400,2,25.5218869017411,0.058752486017868,0.2302043193125345,1823,0.1277139208173691,0.5167567844131844,0.8831532841303766,1.0107421875
i4_bf16,outlier,64,1600,2,51.24294421347461,0.09999425124486915,0.19513759948745316,1307,0.12516711553738544,0.5189109233061696,0.9601255946862444,1.54931640625
i4_bf16,outlier,128,1200,2,74.78077538170571,0.13827568174349025,0.18490806097915624,1003,0.12738597951793934,0.5329919063229063,0.907466922297613,1.31988525390625
i4_bf16,outlier,1024,360,2,212.9779337856898,0.3845318399746478,0.18055008476210732,329,0.15338674063758834,0.7002352910602426,1.6026081265913028,1.6429405212402344
